date,orders,revenue,website_traffic,marketing_spend,new_customers,returning_customers
2026-01-01,63,5441.12,1933,584.77,48,15
2026-01-02,57,4762.52,2149,623.87,40,17
2026-01-03,73,6219.4,2385,679.93,55,18
2026-01-04,63,5534.88,2107,659.35,47,16
2026-01-05,56,4523.76,1833,481.89,44,12
2026-01-06,56,4418.28,1812,482.71,37,19
2026-01-07,62,5376.39,2137,666.01,48,14
2026-01-08,55,4254.09,1983,610.1,41,14
2026-01-09,63,5573.29,2098,608.02,51,12
2026-01-10,78,5585.04,2308,679.91,55,23
2026-01-11,71,6637.21,2043,526.68,54,17
2026-01-12,60,5343.26,1781,471.42,49,11
2026-01-13,61,5328.14,1707,521.78,41,20
2026-01-14,49,4566.05,1842,427.92,40,9
2026-01-15,60,5920.31,1885,442.02,46,14
2026-01-16,69,6450.66,2178,608.87,46,23
2026-01-17,81,5724.33,2242,578.38,57,24
2026-01-18,58,4360.79,2062,587.49,45,13
2026-01-19,53,4263.8,1623,446.21,35,18
2026-01-20,53,4541.1,1726,411.73,40,13
2026-01-21,52,4661.2,2235,670.83,37,15
2026-01-22,66,5261.27,2125,553.34,50,16
2026-01-23,67,5831.75,2460,660.29,44,23
2026-01-24,56,4453.61,2074,556.88,45,11
2026-01-25,56,4519.45,1901,533.77,46,10
2026-01-26,61,4536.46,1909,523.28,50,11
2026-01-27,58,4539.11,1788,435.76,45,13
2026-01-28,62,4641.18,2146,600.91,42,20
2026-01-29,73,5685.91,2388,533.48,57,16
2026-01-30,78,7343.71,2403,642.48,51,27
2026-01-31,63,4923.49,2433,621.83,41,22
2026-02-01,88,9401.02,2348,707.92,62,26
2026-02-02,57,5115.3,1931,520.31,42,15
2026-02-03,51,4452.26,1735,448.03,40,11
2026-02-04,60,4738.71,2238,638.57,46,14
2026-02-05,59,5396.89,1887,496.45,43,16
2026-02-06,77,6259.32,2397,684.86,54,23
2026-02-07,75,6517.2,2164,534.11,61,14
2026-02-08,49,5214.85,1972,491.67,35,14
2026-02-09,64,5452.87,2138,540.78,47,17
2026-02-10,72,6853.58,2060,782.34,49,23
2026-02-11,77,6190.33,2483,809.15,60,17
2026-02-12,66,5660.44,2219,783.26,51,15
2026-02-13,85,8520.01,2672,886.28,58,27
2026-02-14,70,5675.47,2677,776.43,46,24
2026-02-15,73,7345.14,2318,729.85,56,17
2026-02-16,59,5416.53,2001,675.68,45,14
2026-02-17,63,5145.13,1943,607.56,44,19
2026-02-18,71,6478.94,2228,617.81,58,13
2026-02-19,53,4981.93,1884,471.26,36,17
2026-02-20,67,6111.58,2507,707.6,48,19
2026-02-21,88,6486.14,2424,659.01,71,17
2026-02-22,62,4989.49,2008,550.02,45,17
2026-02-23,62,5228.93,2203,581.3,47,15
2026-02-24,70,6002.3,2096,611.47,50,20
2026-02-25,62,5662.63,2038,665.33,43,19
2026-02-26,73,6410.41,2089,542.3,60,13
2026-02-27,77,5831.55,2383,670.61,55,22
2026-02-28,92,8232.49,2601,716.49,74,18
2026-03-01,82,7490.83,2179,672.07,57,25
2026-03-02,62,5640.14,1891,510.68,43,19
2026-03-03,69,6566.23,1985,532.05,45,24
2026-03-04,78,7270.6,2151,529.08,59,19
2026-03-05,65,5865.58,1938,523.7,46,19
2026-03-06,66,5677.97,2552,756.47,53,13
2026-03-07,78,5719.61,2595,795.58,57,21
2026-03-08,78,7026.07,2113,605.13,64,14
2026-03-09,60,5299.63,2245,620.22,41,19
2026-03-10,56,4976.34,2049,576.1,45,11
2026-03-11,51,3901.58,2006,567.74,40,11
2026-03-12,66,5154.06,2326,639.11,52,14
2026-03-13,106,10090.18,2895,814.59,84,22
2026-03-14,94,8128.52,2636,705.47,73,21
2026-03-15,69,6366.42,2210,726.07,52,17
2026-03-16,63,5485.18,1685,372.33,42,21
2026-03-17,61,5313.26,2201,614.07,40,21
2026-03-18,57,5380.56,2156,625.38,46,11
2026-03-19,66,5463.88,2236,599.26,50,16
2026-03-20,87,7630.61,2645,720.69,68,19
2026-03-21,78,6494.74,2275,576.19,57,21
2026-03-22,60,5010.78,2204,607.55,40,20
2026-03-23,59,4987.89,1722,586.45,40,19
2026-03-24,54,4796.05,2056,665.73,41,13
2026-03-25,68,5659.88,2165,589.38,49,19
2026-03-26,65,6313.74,2040,569.98,44,21
2026-03-27,77,6156.64,2699,686.49,56,21
2026-03-28,79,6765.81,2535,786.74,52,27
2026-03-29,56,4684.13,2242,652.32,42,14
2026-03-30,68,6715.93,1993,530.12,47,21
2026-03-31,75,6658.89,2229,603.95,59,16
2026-04-01,58,5538.55,2130,638.84,41,17
2026-04-02,77,5804.1,2478,700.76,56,21
2026-04-03,69,6170.23,2543,679.8,45,24
2026-04-04,75,7082.19,2484,707.06,50,25
2026-04-05,80,7039.62,2583,821.12,57,23
2026-04-06,56,5369.6,2159,635.18,41,15
2026-04-07,63,5244.65,2315,802.56,47,16
2026-04-08,72,7105.42,2641,886.54,50,22
2026-04-09,102,10794.42,2565,863.58,78,24
2026-04-10,93,7863.95,2978,971.81,74,19
2026-04-11,78,6545.93,2881,861.65,61,17
2026-04-12,86,8525.88,2717,827.05,56,30
2026-04-13,58,5810.0,1915,554.7,42,16
2026-04-14,57,4752.54,2210,523.35,38,19
2026-04-15,70,5895.69,2099,633.52,48,22
2026-04-16,78,6657.79,2337,674.0,64,14
2026-04-17,89,6842.3,2907,875.66,60,29
2026-04-18,88,7067.37,2712,756.89,65,23
2026-04-19,74,5894.24,2286,666.48,56,18
2026-04-20,50,4078.38,2065,579.22,38,12
2026-04-21,46,4023.04,1859,450.93,34,12
2026-04-22,91,8156.64,2271,649.33,59,32
2026-04-23,89,8916.78,2427,656.32,63,26
2026-04-24,91,7263.85,2967,923.39,67,24
2026-04-25,86,8230.96,2605,738.55,57,29
2026-04-26,81,6977.92,2465,675.94,57,24
2026-04-27,87,7611.48,2141,587.74,57,30
2026-04-28,70,6531.52,2084,509.18,46,24
2026-04-29,77,6079.3,2530,737.57,55,22
2026-04-30,67,6098.2,2349,711.12,45,22
2026-05-01,71,6341.37,2738,813.67,53,18
2026-05-02,84,7723.62,2705,695.69,64,20
